year	affected cell IDs (list)
19	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
20	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
21	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
22	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
23	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
24	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
25	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
26	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
27	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
28	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
29	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
30	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
31	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
32	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
33	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
34	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
35	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
36	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
37	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
38	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
39	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
40	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
41	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
42	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
43	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
44	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
45	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
46	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
47	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
48	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
49	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
50	[3,4,6,7,10,11,12,13,113,114,115,137,138,140,141,142,144,145,147,251,247,248,258,267,263,272,268,284,285,278,279]
